Model,Accuracy,Precision,Recall,F1,ROC-AUC,Brier Score,CV Mean (ROC-AUC),CV Std (ROC-AUC),CV Mean (Acc),CV Std (Acc),Latency (ms/sample)
Logistic Regression,0.75,0.5595,0.7833,0.6528,0.8045,0.1802,0.776,0.0488,0.7088,0.0462,0.0
Support Vector Machine,0.76,0.5789,0.7333,0.6471,0.8001,0.1584,0.8028,0.0207,0.7488,0.016,0.149
Random Forest,0.795,0.661,0.65,0.6555,0.7985,0.1695,0.7991,0.0356,0.7625,0.0079,0.353
Gradient Boosting,0.8,0.7083,0.5667,0.6296,0.7956,0.156,0.7798,0.0348,0.7512,0.0235,0.008
Naive Bayes,0.695,0.4938,0.6667,0.5674,0.7533,0.2696,0.7144,0.0516,0.6562,0.1002,0.003
Decision Tree,0.675,0.4684,0.6167,0.5324,0.7104,0.2289,0.7082,0.0747,0.6788,0.043,0.005
K-Nearest Neighbors,0.715,0.5385,0.35,0.4242,0.7092,0.1902,0.7473,0.0284,0.7375,0.0205,2.067
