Model,Best Parameters,Baseline Score (ROC-AUC),Tuned Score (ROC-AUC),Delta Improvement,Tuned F1-Score,Tuned Accuracy,Best CV (ROC-AUC)
Random Forest,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}",0.7985,0.814,0.0155,0.6038,0.79,0.8039
Logistic Regression,"{'C': 0.05, 'solver': 'liblinear'}",0.8045,0.8074,0.0029,0.6667,0.755,0.786
Support Vector Machine,"{'C': 0.5, 'gamma': 'scale', 'kernel': 'rbf'}",0.8001,0.8004,0.0003,0.6383,0.745,0.8052
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 150, 'subsample': 0.85}",0.7956,0.7943,-0.0013,0.6214,0.805,0.7903
